label,build_warmup_seconds,build_steady_seconds,build_total_seconds,query_warmup_seconds,query_steady_seconds,build_cpu_seconds,build_cpu_utilisation,build_rss_delta_bytes,build_max_rss_bytes,query_cpu_seconds,query_cpu_utilisation,query_rss_delta_bytes,query_max_rss_bytes
PCCT (Numba),0.007659363996936008,0.3224123277480065,40.95402498799376,2.4245833809836768,0.4706968289974611,53.440174,1.3048196988067209,592187392,2109317120,10.802135000000007,22.94747585277749,12288,2109317120
GPBoost CoverTree,2.8338619869900867,2.8338619869900867,2.8338619869900867,22.19180096499622,22.19180096499622,23.33471500000001,8.233845275712342,806912,2109317120,219.737247,9.901676828222993,0,2109317120
